Apr_AC1,Post_AC1,FD1,FD2,AI1,Apr_AC2,Post_AC2,POLO,STATUS
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0,0.6,0,0.875,0.7,MONTE_AZUL,Reprov
0,0,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0,1,0,0,MONTE_AZUL,Reprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0,0,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0,0,0,0.875,0.7,MONTE_AZUL,Reprov
0,0,0,0,0,0,0,MONTE_AZUL,Reprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0,0,MONTE_AZUL,Reprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0,0.6,0,0,0,0,MONTE_AZUL,Reprov
1,0.8,0,0,0,0.875,0.7,MONTE_AZUL,Reprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.8,MONTE_AZUL,Aprov
0,0,0,0,0,0,0,MONTE_AZUL,Reprov
1,0.7,0,0,1,0.875,0.8,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0,0,0,0,0,0,MONTE_AZUL,Reprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.4,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0,0.6,0,0,0,0,MONTE_AZUL,Reprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
0,0,0,0,0,0,0,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
0,0,0.6,0.6,0,0.875,0,MONTE_AZUL,Reprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.4,0.6,1,0,0,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0,0,0,0,0,MONTE_AZUL,Reprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
0,0,0.6,0.6,1,0.875,0.8,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,NOVA_SERRANA,Aprov
